iteração 0: [[0, 0], 's', 1, 1, 'limpar', None]
iteração 1: [[1, 0], 's', 1, 0, 'andar', None]
iteração 2: [[1, 0], 's', 2, 1, 'limpar', None]
iteração 3: [[2, 0], 's', 2, 0, 'andar', None]
iteração 4: [[2, 0], 's', 3, 1, 'limpar', None]
iteração 5: [[3, 0], 's', 3, 0, 'andar', None]
iteração 6: [[3, 0], 's', 3, -1, 'andar', None]
iteração 7: [[3, 0], 'o', 3, -2, 'alterar sentido', 'e']
iteração 8: [[3, 1], 'o', 3, -3, 'andar', None]
iteração 9: [[3, 2], 'o', 3, -4, 'andar', None]
iteração 10: [[3, 3], 'o', 3, -5, 'andar', None]
iteração 11: [[3, 3], 'o', 3, -6, 'andar', None]
iteração 12: [[3, 3], 'n', 3, -7, 'alterar sentido', 'e']
iteração 13: [[2, 3], 'n', 3, -8, 'andar', None]
iteração 14: [[2, 3], 'n', 4, -7, 'limpar', None]
iteração 15: [[1, 3], 'n', 4, -8, 'andar', None]
iteração 16: [[1, 3], 'n', 5, -7, 'limpar', None]
iteração 17: [[0, 3], 'n', 5, -8, 'andar', None]
iteração 18: [[0, 3], 'n', 6, -7, 'limpar', None]
iteração 19: [[0, 3], 'n', 6, -8, 'andar', None]
iteração 20: [[0, 3], 'l', 6, -9, 'alterar sentido', 'e']
iteração 21: [[0, 2], 'l', 6, -10, 'andar', None]
iteração 22: [[0, 1], 'l', 6, -11, 'andar', None]
iteração 23: [[0, 0], 'l', 6, -12, 'andar', None]
iteração 24: [[0, 0], 'l', 6, -12, 'Retornar a HOME', None]
