iteração 0: [[0, 0], 's', 1, 1, 'limpar', None]
iteração 1: [[1, 0], 's', 1, 0, 'andar', None]
iteração 2: [[1, 0], 's', 2, 1, 'limpar', None]
iteração 3: [[2, 0], 's', 2, 0, 'andar', None]
iteração 4: [[2, 0], 's', 3, 1, 'limpar', None]
iteração 5: [[2, 0], 's', 3, 0, 'andar', None]
iteração 6: [[2, 0], 'o', 3, -1, 'alterar sentido', 'e']
iteração 7: [[2, 1], 'o', 3, -2, 'andar', None]
iteração 8: [[2, 2], 'o', 3, -3, 'andar', None]
iteração 9: [[2, 2], 'o', 4, -2, 'limpar', None]
iteração 10: [[2, 2], 'o', 4, -3, 'andar', None]
iteração 11: [[2, 2], 'n', 4, -4, 'alterar sentido', 'e']
iteração 12: [[1, 2], 'n', 4, -5, 'andar', None]
iteração 13: [[1, 2], 'n', 5, -4, 'limpar', None]
iteração 14: [[0, 2], 'n', 5, -5, 'andar', None]
iteração 15: [[0, 2], 'n', 5, -6, 'andar', None]
iteração 16: [[0, 2], 'l', 5, -7, 'alterar sentido', 'e']
iteração 17: [[0, 1], 'l', 5, -8, 'andar', None]
iteração 18: [[0, 0], 'l', 5, -9, 'andar', None]
iteração 19: [[0, 0], 'l', 5, -9, 'Retornar a HOME', None]
