iteração 0: [[0, 0], 's', 1, 1, 'limpar', None]
iteração 1: [[1, 0], 's', 1, 0, 'andar', None]
iteração 2: [[1, 0], 's', 2, 1, 'limpar', None]
iteração 3: [[2, 0], 's', 2, 0, 'andar', None]
iteração 4: [[2, 0], 's', 3, 1, 'limpar', None]
iteração 5: [[3, 0], 's', 3, 0, 'andar', None]
iteração 6: [[3, 0], 's', 4, 1, 'limpar', None]
iteração 7: [[3, 0], 's', 4, 0, 'andar', None]
iteração 8: [[3, 0], 'o', 4, -1, 'alterar sentido', 'e']
iteração 9: [[3, 1], 'o', 4, -2, 'andar', None]
iteração 10: [[3, 2], 'o', 4, -3, 'andar', None]
iteração 11: [[3, 3], 'o', 4, -4, 'andar', None]
iteração 12: [[3, 3], 'o', 4, -5, 'andar', None]
iteração 13: [[3, 3], 'n', 4, -6, 'alterar sentido', 'e']
iteração 14: [[2, 3], 'n', 4, -7, 'andar', None]
iteração 15: [[2, 3], 'n', 5, -6, 'limpar', None]
iteração 16: [[1, 3], 'n', 5, -7, 'andar', None]
iteração 17: [[0, 3], 'n', 5, -8, 'andar', None]
iteração 18: [[0, 3], 'n', 5, -9, 'andar', None]
iteração 19: [[0, 3], 'l', 5, -10, 'alterar sentido', 'e']
iteração 20: [[0, 2], 'l', 5, -11, 'andar', None]
iteração 21: [[0, 1], 'l', 5, -12, 'andar', None]
iteração 22: [[0, 0], 'l', 5, -13, 'andar', None]
iteração 23: [[0, 0], 'l', 5, -13, 'Retornar a HOME', None]
