iteração 0: [[0, 0], 's', 1, 1, 'limpar', None]
iteração 1: [[0, 0], 'l', 1, 0, 'alterar sentido', 'd']
iteração 2: [[0, 0], 's', 1, -1, 'alterar sentido', 'e']
iteração 3: [[1, 0], 's', 1, -2, 'andar', None]
iteração 4: [[1, 0], 's', 2, -1, 'limpar', None]
iteração 5: [[2, 0], 's', 2, -2, 'andar', None]
iteração 6: [[2, 0], 's', 3, -1, 'limpar', None]
iteração 7: [[3, 0], 's', 3, -2, 'andar', None]
iteração 8: [[3, 0], 's', 4, -1, 'limpar', None]
iteração 9: [[4, 0], 's', 4, -2, 'andar', None]
iteração 10: [[4, 0], 's', 5, -1, 'limpar', None]
iteração 11: [[4, 0], 'o', 5, -2, 'alterar sentido', 'e']
iteração 12: [[4, 1], 'o', 5, -3, 'andar', None]
iteração 13: [[4, 2], 'o', 5, -4, 'andar', None]
iteração 14: [[4, 3], 'o', 5, -5, 'andar', None]
iteração 15: [[4, 4], 'o', 5, -6, 'andar', None]
iteração 16: [[4, 4], 'n', 5, -7, 'alterar sentido', 'e']
iteração 17: [[4, 4], 'o', 5, -8, 'alterar sentido', 'd']
iteração 18: [[4, 4], 'n', 5, -9, 'alterar sentido', 'e']
iteração 19: [[3, 4], 'n', 5, -10, 'andar', None]
iteração 20: [[3, 4], 'n', 6, -9, 'limpar', None]
iteração 21: [[2, 4], 'n', 6, -10, 'andar', None]
iteração 22: [[2, 4], 'n', 7, -9, 'limpar', None]
iteração 23: [[1, 4], 'n', 7, -10, 'andar', None]
iteração 24: [[1, 4], 'n', 8, -9, 'limpar', None]
iteração 25: [[1, 4], 'o', 8, -10, 'alterar sentido', 'd']
iteração 26: [[1, 5], 'o', 8, -11, 'andar', None]
iteração 27: [[1, 6], 'o', 8, -12, 'andar', None]
iteração 28: [[1, 7], 'o', 8, -13, 'andar', None]
iteração 29: [[1, 7], 'o', 8, -14, 'andar', None]
iteração 30: [[1, 7], 'n', 8, -15, 'alterar sentido', 'e']
iteração 31: [[1, 7], 'o', 8, -16, 'alterar sentido', 'd']
iteração 32: [[1, 7], 'n', 8, -17, 'alterar sentido', 'e']
iteração 33: [[1, 7], 'o', 8, -18, 'alterar sentido', 'd']
iteração 34: [[1, 7], 's', 8, -19, 'alterar sentido', 'd']
iteração 35: [[2, 7], 's', 8, -20, 'andar', None]
iteração 36: [[2, 7], 's', 9, -19, 'limpar', None]
iteração 37: [[3, 7], 's', 9, -20, 'andar', None]
iteração 38: [[3, 7], 's', 10, -19, 'limpar', None]
iteração 39: [[3, 7], 'o', 10, -20, 'alterar sentido', 'e']
iteração 40: [[3, 7], 'n', 10, -21, 'alterar sentido', 'e']
iteração 41: [[3, 7], 'l', 10, -22, 'alterar sentido', 'e']
iteração 42: [[3, 6], 'l', 10, -23, 'andar', None]
iteração 43: [[3, 6], 's', 10, -24, 'alterar sentido', 'e']
iteração 44: [[4, 6], 's', 10, -25, 'andar', None]
iteração 45: [[4, 6], 'o', 10, -26, 'alterar sentido', 'e']
iteração 46: [[4, 6], 'n', 10, -27, 'alterar sentido', 'e']
iteração 47: [[3, 6], 'n', 10, -28, 'andar', None]
iteração 48: [[3, 6], 'l', 10, -29, 'alterar sentido', 'e']
iteração 49: [[3, 5], 'l', 10, -30, 'andar', None]
iteração 50: [[3, 4], 'l', 10, -31, 'andar', None]
iteração 51: [[3, 3], 'l', 10, -32, 'andar', None]
iteração 52: [[3, 3], 'n', 10, -33, 'alterar sentido', 'd']
iteração 53: [[2, 3], 'n', 10, -34, 'andar', None]
iteração 54: [[2, 3], 'n', 11, -33, 'limpar', None]
iteração 55: [[2, 3], 'l', 11, -34, 'alterar sentido', 'e']
iteração 56: [[2, 3], 's', 11, -35, 'alterar sentido', 'e']
iteração 57: [[3, 3], 's', 11, -36, 'andar', None]
iteração 58: [[3, 3], 'o', 11, -37, 'alterar sentido', 'e']
iteração 59: [[3, 3], 'n', 11, -38, 'alterar sentido', 'e']
iteração 60: [[3, 3], 'o', 11, -39, 'alterar sentido', 'd']
iteração 61: [[3, 3], 'n', 11, -40, 'alterar sentido', 'e']
iteração 62: [[2, 3], 'n', 11, -41, 'andar', None]
iteração 63: [[2, 3], 'o', 11, -42, 'alterar sentido', 'd']
iteração 64: [[2, 3], 'n', 11, -43, 'alterar sentido', 'e']
iteração 65: [[2, 3], 'o', 11, -44, 'alterar sentido', 'd']
iteração 66: [[2, 4], 'o', 11, -45, 'andar', None]
iteração 67: [[2, 5], 'o', 11, -46, 'andar', None]
iteração 68: [[2, 6], 'o', 11, -47, 'andar', None]
iteração 69: [[2, 6], 'o', 12, -46, 'limpar', None]
iteração 70: [[2, 7], 'o', 12, -47, 'andar', None]
iteração 71: [[2, 7], 's', 12, -48, 'alterar sentido', 'd']
iteração 72: [[3, 7], 's', 12, -49, 'andar', None]
iteração 73: [[3, 7], 'o', 12, -50, 'alterar sentido', 'e']
iteração 74: [[3, 7], 'o', 12, -51, 'andar', None]
iteração 75: [[3, 7], 'o', 12, -52, 'andar', None]
iteração 76: [[3, 7], 'n', 12, -53, 'alterar sentido', 'e']
iteração 77: [[2, 7], 'n', 12, -54, 'andar', None]
iteração 78: [[2, 7], 'o', 12, -55, 'alterar sentido', 'd']
iteração 79: [[2, 7], 's', 12, -56, 'alterar sentido', 'd']
iteração 80: [[2, 7], 'o', 12, -57, 'alterar sentido', 'e']
iteração 81: [[2, 7], 'n', 12, -58, 'alterar sentido', 'e']
iteração 82: [[1, 7], 'n', 12, -59, 'andar', None]
iteração 83: [[1, 7], 'o', 12, -60, 'alterar sentido', 'd']
iteração 84: [[1, 7], 'o', 12, -61, 'andar', None]
iteração 85: [[1, 7], 's', 12, -62, 'alterar sentido', 'd']
iteração 86: [[1, 7], 'l', 12, -63, 'alterar sentido', 'd']
iteração 87: [[1, 6], 'l', 12, -64, 'andar', None]
iteração 88: [[1, 6], 's', 12, -65, 'alterar sentido', 'e']
iteração 89: [[2, 6], 's', 12, -66, 'andar', None]
iteração 90: [[3, 6], 's', 12, -67, 'andar', None]
iteração 91: [[3, 6], 'o', 12, -68, 'alterar sentido', 'e']
iteração 92: [[3, 7], 'o', 12, -69, 'andar', None]
iteração 93: [[3, 7], 's', 12, -70, 'alterar sentido', 'd']
iteração 94: [[3, 7], 'o', 12, -71, 'alterar sentido', 'e']
iteração 95: [[3, 7], 'o', 12, -72, 'andar', None]
iteração 96: [[3, 7], 'o', 12, -73, 'andar', None]
iteração 97: [[3, 7], 's', 12, -74, 'alterar sentido', 'd']
iteração 98: [[3, 7], 'o', 12, -75, 'alterar sentido', 'e']
iteração 99: [[3, 7], 's', 12, -76, 'alterar sentido', 'd']
iteração 100: [[3, 7], 'o', 12, -77, 'alterar sentido', 'e']
iteração 101: [[3, 7], 'n', 12, -78, 'alterar sentido', 'e']
iteração 102: [[2, 7], 'n', 12, -79, 'andar', None]
iteração 103: [[1, 7], 'n', 12, -80, 'andar', None]
iteração 104: [[0, 7], 'n', 12, -81, 'andar', None]
iteração 105: [[0, 7], 'n', 12, -82, 'andar', None]
iteração 106: [[0, 7], 'l', 12, -83, 'alterar sentido', 'e']
iteração 107: [[0, 7], 'n', 12, -84, 'alterar sentido', 'd']
iteração 108: [[0, 7], 'o', 12, -85, 'alterar sentido', 'd']
iteração 109: [[0, 7], 'n', 12, -86, 'alterar sentido', 'e']
iteração 110: [[0, 7], 'n', 12, -87, 'andar', None]
iteração 111: [[0, 7], 'n', 12, -88, 'andar', None]
iteração 112: [[0, 7], 'l', 12, -89, 'alterar sentido', 'e']
iteração 113: [[0, 6], 'l', 12, -90, 'andar', None]
iteração 114: [[0, 5], 'l', 12, -91, 'andar', None]
iteração 115: [[0, 4], 'l', 12, -92, 'andar', None]
iteração 116: [[0, 4], 'l', 13, -91, 'limpar', None]
iteração 117: [[0, 4], 'n', 13, -92, 'alterar sentido', 'd']
iteração 118: [[0, 4], 'l', 13, -93, 'alterar sentido', 'e']
iteração 119: [[0, 3], 'l', 13, -94, 'andar', None]
iteração 120: [[0, 3], 's', 13, -95, 'alterar sentido', 'e']
iteração 121: [[1, 3], 's', 13, -96, 'andar', None]
iteração 122: [[2, 3], 's', 13, -97, 'andar', None]
iteração 123: [[2, 3], 'l', 13, -98, 'alterar sentido', 'd']
iteração 124: [[2, 2], 'l', 13, -99, 'andar', None]
iteração 125: [[2, 2], 'l', 14, -98, 'limpar', None]
iteração 126: [[2, 2], 'n', 14, -99, 'alterar sentido', 'd']
iteração 127: [[2, 2], 'o', 14, -100, 'alterar sentido', 'd']
iteração 128: [[2, 3], 'o', 14, -101, 'andar', None]
iteração 129: [[2, 4], 'o', 14, -102, 'andar', None]
iteração 130: [[2, 4], 'n', 14, -103, 'alterar sentido', 'e']
iteração 131: [[2, 4], 'o', 14, -104, 'alterar sentido', 'd']
iteração 132: [[2, 5], 'o', 14, -105, 'andar', None]
iteração 133: [[2, 6], 'o', 14, -106, 'andar', None]
iteração 134: [[2, 7], 'o', 14, -107, 'andar', None]
iteração 135: [[2, 7], 's', 14, -108, 'alterar sentido', 'd']
iteração 136: [[2, 7], 'l', 14, -109, 'alterar sentido', 'd']
iteração 137: [[2, 6], 'l', 14, -110, 'andar', None]
iteração 138: [[2, 6], 's', 14, -111, 'alterar sentido', 'e']
iteração 139: [[2, 6], 'o', 14, -112, 'alterar sentido', 'e']
iteração 140: [[2, 6], 'n', 14, -113, 'alterar sentido', 'e']
iteração 141: [[1, 6], 'n', 14, -114, 'andar', None]
iteração 142: [[0, 6], 'n', 14, -115, 'andar', None]
iteração 143: [[0, 6], 'l', 14, -116, 'alterar sentido', 'e']
iteração 144: [[0, 5], 'l', 14, -117, 'andar', None]
iteração 145: [[0, 5], 'n', 14, -118, 'alterar sentido', 'd']
iteração 146: [[0, 5], 'o', 14, -119, 'alterar sentido', 'd']
iteração 147: [[0, 6], 'o', 14, -120, 'andar', None]
iteração 148: [[0, 7], 'o', 14, -121, 'andar', None]
iteração 149: [[0, 7], 'o', 14, -122, 'andar', None]
iteração 150: [[0, 7], 'o', 14, -123, 'andar', None]
iteração 151: [[0, 7], 's', 14, -124, 'alterar sentido', 'd']
iteração 152: [[1, 7], 's', 14, -125, 'andar', None]
iteração 153: [[2, 7], 's', 14, -126, 'andar', None]
iteração 154: [[2, 7], 'o', 14, -127, 'alterar sentido', 'e']
iteração 155: [[2, 7], 'o', 14, -128, 'andar', None]
iteração 156: [[2, 7], 's', 14, -129, 'alterar sentido', 'd']
iteração 157: [[2, 7], 'o', 14, -130, 'alterar sentido', 'e']
iteração 158: [[2, 7], 's', 14, -131, 'alterar sentido', 'd']
