iteração 0: [[0, 0], 's', 1, 1, 'limpar', None]
iteração 1: [[1, 0], 's', 1, 0, 'andar', None]
iteração 2: [[1, 0], 's', 2, 1, 'limpar', None]
iteração 3: [[1, 0], 'o', 2, 0, 'alterar sentido', 'e']
iteração 4: [[1, 0], 's', 2, -1, 'alterar sentido', 'd']
iteração 5: [[2, 0], 's', 2, -2, 'andar', None]
iteração 6: [[2, 0], 's', 3, -1, 'limpar', None]
iteração 7: [[3, 0], 's', 3, -2, 'andar', None]
iteração 8: [[3, 0], 's', 4, -1, 'limpar', None]
iteração 9: [[3, 0], 'o', 4, -2, 'alterar sentido', 'e']
iteração 10: [[3, 0], 's', 4, -3, 'alterar sentido', 'd']
iteração 11: [[3, 0], 's', 4, -4, 'andar', None]
iteração 12: [[3, 0], 'o', 4, -5, 'alterar sentido', 'd']
iteração 13: [[3, 1], 'o', 4, -6, 'andar', None]
iteração 14: [[3, 2], 'o', 4, -7, 'andar', None]
iteração 15: [[3, 2], 's', 4, -8, 'alterar sentido', 'd']
iteração 16: [[3, 2], 'l', 4, -9, 'alterar sentido', 'd']
iteração 17: [[3, 2], 's', 4, -10, 'alterar sentido', 'e']
iteração 18: [[3, 2], 's', 4, -11, 'andar', None]
iteração 19: [[3, 2], 'o', 4, -12, 'alterar sentido', 'e']
iteração 20: [[3, 2], 's', 4, -13, 'alterar sentido', 'd']
iteração 21: [[3, 2], 's', 4, -14, 'andar', None]
iteração 22: [[3, 2], 'o', 4, -15, 'alterar sentido', 'e']
iteração 23: [[3, 3], 'o', 4, -16, 'andar', None]
iteração 24: [[3, 3], 's', 4, -17, 'alterar sentido', 'd']
iteração 25: [[3, 3], 's', 4, -18, 'andar', None]
iteração 26: [[3, 3], 'o', 4, -19, 'alterar sentido', 'd']
iteração 27: [[3, 3], 'o', 4, -20, 'andar', None]
iteração 28: [[3, 3], 'n', 4, -21, 'alterar sentido', 'd']
iteração 29: [[3, 3], 'o', 4, -22, 'alterar sentido', 'd']
iteração 30: [[3, 3], 'n', 4, -23, 'alterar sentido', 'e']
iteração 31: [[3, 3], 'o', 4, -24, 'alterar sentido', 'd']
iteração 32: [[3, 3], 'o', 4, -25, 'andar', None]
iteração 33: [[3, 3], 'n', 4, -26, 'alterar sentido', 'd']
iteração 34: [[2, 3], 'n', 4, -27, 'andar', None]
iteração 35: [[2, 3], 'n', 5, -26, 'limpar', None]
iteração 36: [[1, 3], 'n', 5, -27, 'andar', None]
iteração 37: [[0, 3], 'n', 5, -28, 'andar', None]
iteração 38: [[0, 3], 'l', 5, -29, 'alterar sentido', 'e']
iteração 39: [[0, 3], 'n', 5, -30, 'alterar sentido', 'd']
iteração 40: [[0, 3], 'o', 5, -31, 'alterar sentido', 'd']
iteração 41: [[0, 3], 'o', 5, -32, 'andar', None]
iteração 42: [[0, 3], 'n', 5, -33, 'alterar sentido', 'e']
iteração 43: [[0, 3], 'n', 5, -34, 'andar', None]
iteração 44: [[0, 3], 'l', 5, -35, 'alterar sentido', 'e']
iteração 45: [[0, 2], 'l', 5, -36, 'andar', None]
iteração 46: [[0, 1], 'l', 5, -37, 'andar', None]
iteração 47: [[0, 1], 'n', 5, -38, 'alterar sentido', 'd']
iteração 48: [[0, 1], 'l', 5, -39, 'alterar sentido', 'e']
iteração 49: [[0, 0], 'l', 5, -40, 'andar', None]
iteração 50: [[0, 0], 'l', 5, -41, 'andar', None]
iteração 51: [[0, 0], 's', 5, -42, 'alterar sentido', 'd']
iteração 52: [[0, 0], 's', 5, -42, 'Retornar a HOME', None]
