iteração 0: [[0, 0], 's', 1, 1, 'limpar', None]
iteração 1: [[1, 0], 's', 1, 0, 'andar', None]
iteração 2: [[1, 0], 's', 2, 1, 'limpar', None]
iteração 3: [[2, 0], 's', 2, 0, 'andar', None]
iteração 4: [[2, 0], 's', 3, 1, 'limpar', None]
iteração 5: [[3, 0], 's', 3, 0, 'andar', None]
iteração 6: [[3, 0], 'l', 3, -1, 'alterar sentido', 'd']
iteração 7: [[3, 0], 's', 3, -2, 'alterar sentido', 'e']
iteração 8: [[3, 0], 'o', 3, -3, 'alterar sentido', 'e']
iteração 9: [[3, 1], 'o', 3, -4, 'andar', None]
iteração 10: [[3, 2], 'o', 3, -5, 'andar', None]
iteração 11: [[3, 2], 's', 3, -6, 'alterar sentido', 'd']
iteração 12: [[3, 2], 's', 3, -7, 'andar', None]
iteração 13: [[3, 2], 'o', 3, -8, 'alterar sentido', 'd']
iteração 14: [[3, 2], 'n', 3, -9, 'alterar sentido', 'e']
iteração 15: [[3, 2], 'l', 3, -10, 'alterar sentido', 'e']
iteração 16: [[3, 2], 'n', 3, -11, 'alterar sentido', 'd']
iteração 17: [[2, 2], 'n', 3, -12, 'andar', None]
iteração 18: [[2, 2], 'n', 4, -11, 'limpar', None]
iteração 19: [[2, 2], 'o', 4, -12, 'alterar sentido', 'd']
iteração 20: [[2, 2], 'n', 4, -13, 'alterar sentido', 'e']
iteração 21: [[2, 2], 'o', 4, -14, 'alterar sentido', 'd']
iteração 22: [[2, 2], 's', 4, -15, 'alterar sentido', 'd']
iteração 23: [[3, 2], 's', 4, -16, 'andar', None]
iteração 24: [[3, 2], 'l', 4, -17, 'alterar sentido', 'd']
iteração 25: [[3, 2], 's', 4, -18, 'alterar sentido', 'e']
iteração 26: [[3, 2], 'o', 4, -19, 'alterar sentido', 'e']
iteração 27: [[3, 2], 's', 4, -20, 'alterar sentido', 'd']
iteração 28: [[3, 2], 's', 4, -21, 'andar', None]
iteração 29: [[3, 2], 'o', 4, -22, 'alterar sentido', 'd']
iteração 30: [[3, 2], 'n', 4, -23, 'alterar sentido', 'e']
iteração 31: [[2, 2], 'n', 4, -24, 'andar', None]
iteração 32: [[1, 2], 'n', 4, -25, 'andar', None]
iteração 33: [[1, 2], 'n', 5, -24, 'limpar', None]
iteração 34: [[0, 2], 'n', 5, -25, 'andar', None]
iteração 35: [[0, 2], 'o', 5, -26, 'alterar sentido', 'd']
iteração 36: [[0, 3], 'o', 5, -27, 'andar', None]
iteração 37: [[0, 3], 'o', 6, -26, 'limpar', None]
iteração 38: [[0, 3], 'n', 6, -27, 'alterar sentido', 'e']
iteração 39: [[0, 3], 'o', 6, -28, 'alterar sentido', 'd']
iteração 40: [[0, 3], 'o', 6, -29, 'andar', None]
iteração 41: [[0, 3], 'n', 6, -30, 'alterar sentido', 'e']
iteração 42: [[0, 3], 'n', 6, -31, 'andar', None]
iteração 43: [[0, 3], 'l', 6, -32, 'alterar sentido', 'e']
iteração 44: [[0, 2], 'l', 6, -33, 'andar', None]
iteração 45: [[0, 1], 'l', 6, -34, 'andar', None]
iteração 46: [[0, 1], 's', 6, -35, 'alterar sentido', 'e']
iteração 47: [[1, 1], 's', 6, -36, 'andar', None]
iteração 48: [[2, 1], 's', 6, -37, 'andar', None]
iteração 49: [[3, 1], 's', 6, -38, 'andar', None]
iteração 50: [[3, 1], 'o', 6, -39, 'alterar sentido', 'e']
iteração 51: [[3, 1], 's', 6, -40, 'alterar sentido', 'd']
iteração 52: [[3, 1], 's', 6, -41, 'andar', None]
iteração 53: [[3, 1], 'o', 6, -42, 'alterar sentido', 'e']
iteração 54: [[3, 2], 'o', 6, -43, 'andar', None]
iteração 55: [[3, 2], 's', 6, -44, 'alterar sentido', 'd']
iteração 56: [[3, 2], 'l', 6, -45, 'alterar sentido', 'd']
iteração 57: [[3, 2], 's', 6, -46, 'alterar sentido', 'e']
iteração 58: [[3, 2], 'o', 6, -47, 'alterar sentido', 'e']
iteração 59: [[3, 2], 'n', 6, -48, 'alterar sentido', 'e']
iteração 60: [[3, 2], 'l', 6, -49, 'alterar sentido', 'e']
iteração 61: [[3, 2], 's', 6, -50, 'alterar sentido', 'e']
iteração 62: [[3, 2], 's', 6, -51, 'andar', None]
iteração 63: [[3, 2], 'o', 6, -52, 'alterar sentido', 'e']
iteração 64: [[3, 2], 's', 6, -53, 'alterar sentido', 'd']
iteração 65: [[3, 2], 's', 6, -54, 'andar', None]
iteração 66: [[3, 2], 'o', 6, -55, 'alterar sentido', 'e']
iteração 67: [[3, 2], 's', 6, -56, 'alterar sentido', 'd']
iteração 68: [[3, 2], 's', 6, -57, 'andar', None]
