iteração 108: [[1, 1], 's', 0, 'perceber', None]
iteração 109: [[1, 1], 'o', 0, 'alterar sentido', 'e']
iteração 110: [[1, 1], 'o', 0, 'perceber', None]
iteração 111: [[1, 1], 's', 0, 'alterar sentido', 'd']
iteração 112: [[1, 1], 's', 0, 'perceber', None]
iteração 113: [[2, 1], 's', 0, 'andar', None]
iteração 114: [[2, 1], 's', 0, 'perceber', None]
iteração 115: [[2, 1], 'o', 0, 'alterar sentido', 'e']
iteração 116: [[2, 1], 'o', 0, 'perceber', None]
iteração 117: [[2, 0], 'o', 0, 'andar', None]
iteração 118: [[2, 0], 'o', 0, 'perceber', None]
iteração 119: [[2, 0], 'n', 0, 'alterar sentido', 'e']
iteração 120: [[2, 0], 'n', 0, 'perceber', None]
iteração 121: [[2, 0], 'l', 0, 'alterar sentido', 'e']
iteração 122: [[2, 0], 'l', 0, 'perceber', None]
iteração 123: [[2, 0], 'n', 0, 'alterar sentido', 'd']
iteração 124: [[2, 0], 'n', 0, 'perceber', None]
iteração 125: [[1, 0], 'n', 0, 'andar', None]
iteração 126: [[1, 0], 'n', 0, 'perceber', None]
iteração 127: [[0, 0], 'n', 0, 'andar', None]
iteração 128: [[0, 0], 'n', 0, 'perceber', None]
iteração 129: [[0, 0], 'o', 0, 'alterar sentido', 'd']
iteração 130: [[0, 0], 'o', 0, 'perceber', None]
iteração 131: [[0, 0], 'o', 0, 'andar', None]
iteração 132: [[0, 0], 'o', 0, 'perceber', None]
iteração 133: [[0, 0], 'o', 0, 'andar', None]
iteração 134: [[0, 0], 'o', 0, 'perceber', None]
iteração 135: [[0, 0], 'o', 0, 'andar', None]
iteração 136: [[0, 0], 'o', 0, 'perceber', None]
iteração 137: [[0, 0], 'o', 0, 'andar', None]
iteração 138: [[0, 0], 'o', 0, 'perceber', None]
iteração 139: [[0, 0], 'o', 0, 'andar', None]
iteração 140: [[0, 0], 'o', 0, 'perceber', None]
iteração 141: [[0, 0], 's', 0, 'alterar sentido', 'd']
iteração 142: [[0, 0], 's', 0, 'perceber', None]
iteração 143: [[0, 0], 'o', 0, 'alterar sentido', 'e']
iteração 144: [[0, 0], 'o', 0, 'perceber', None]
iteração 145: [[0, 0], 'o', 0, 'andar', None]
iteração 146: [[0, 0], 'o', 0, 'perceber', None]
iteração 147: [[0, 0], 's', 0, 'alterar sentido', 'd']
iteração 148: [[0, 0], 's', 0, 'perceber', None]
iteração 149: [[1, 0], 's', 0, 'andar', None]
iteração 150: [[1, 0], 's', 0, 'perceber', None]
iteração 151: [[1, 0], 'o', 0, 'alterar sentido', 'e']
iteração 152: [[1, 0], 'o', 0, 'perceber', None]
iteração 153: [[1, 0], 'n', 0, 'alterar sentido', 'e']
iteração 154: [[1, 0], 'n', 0, 'perceber', None]
iteração 155: [[1, 0], 'l', 0, 'alterar sentido', 'e']
iteração 156: [[1, 0], 'l', 0, 'perceber', None]
iteração 157: [[1, 1], 'l', 0, 'andar', None]
iteração 158: [[1, 1], 'l', 0, 'perceber', None]
iteração 159: [[1, 2], 'l', 0, 'andar', None]
iteração 160: [[1, 2], 'l', 0, 'perceber', None]
iteração 161: [[1, 3], 'l', 0, 'andar', None]
iteração 162: [[1, 3], 'l', 0, 'perceber', None]
iteração 163: [[1, 3], 'l', 0, 'andar', None]
iteração 164: [[1, 3], 'l', 0, 'perceber', None]
iteração 165: [[1, 3], 'l', 0, 'andar', None]
iteração 166: [[1, 3], 'l', 0, 'perceber', None]
iteração 167: [[1, 3], 's', 0, 'alterar sentido', 'e']
iteração 168: [[1, 3], 's', 0, 'perceber', None]
iteração 169: [[1, 3], 'o', 0, 'alterar sentido', 'e']
